mm,wk_wknd,hh,k,u
9,wknd,16,1,3
9,wknd,17,1,3
9,wknd,18,1,3
9,wknd,19,1,3
9,wknd,20,1,3
9,wknd,21,1,3
9,wknd,22,1,3
9,wknd,23,1,3
10,wk,0,1,1
10,wk,1,1,1
10,wk,2,1,1
10,wk,3,1,1
10,wk,4,1,1
10,wk,5,1,1
10,wk,6,1,1
10,wk,7,1,1
10,wk,8,1,2
10,wk,9,1,2
10,wk,10,1,2
10,wk,11,1,2
10,wk,12,1,2
10,wk,13,1,2
10,wk,14,1,2
10,wk,15,1,2
10,wk,16,1,2
10,wk,17,1,2
10,wk,18,1,2
10,wk,19,1,2
10,wk,20,1,2
10,wk,21,1,1
10,wk,22,1,1
10,wk,23,1,1
10,wknd,0,1,1
10,wknd,1,1,1
10,wknd,2,1,1
10,wknd,3,1,1
10,wknd,4,1,1
10,wknd,5,1,1
10,wknd,6,1,1
10,wknd,7,1,1
10,wknd,8,1,1
10,wknd,9,1,1
10,wknd,10,1,1
10,wknd,11,1,1
10,wknd,12,1,1
10,wknd,13,1,1
10,wknd,14,1,1
10,wknd,15,1,1
10,wknd,16,1,1
10,wknd,17,1,1
10,wknd,18,1,1
10,wknd,19,1,1
10,wknd,20,1,1
10,wknd,21,1,1
10,wknd,22,1,1
10,wknd,23,1,1
11,wk,0,1,1
11,wk,1,1,1
11,wk,2,1,1
11,wk,3,1,1
11,wk,4,1,1
11,wk,5,1,1
11,wk,6,1,1
11,wk,7,1,1
11,wk,8,1,2
11,wk,9,1,2
11,wk,10,1,2
11,wk,11,1,2
11,wk,12,1,2
11,wk,13,1,2
11,wk,14,1,2
11,wk,15,1,2
11,wk,16,1,2
11,wk,17,1,2
11,wk,18,1,2
11,wk,19,1,2
11,wk,20,1,2
11,wk,21,1,1
11,wk,22,1,1
11,wk,23,1,1
11,wknd,0,1,1
11,wknd,1,1,1
11,wknd,2,1,1
11,wknd,3,1,1
11,wknd,4,1,1
11,wknd,5,1,1
11,wknd,6,1,1
11,wknd,7,1,1
11,wknd,8,1,1
11,wknd,9,1,1
11,wknd,10,1,1
11,wknd,11,1,1
11,wknd,12,1,1
11,wknd,13,1,1
11,wknd,14,1,1
11,wknd,15,1,1
11,wknd,16,1,1
11,wknd,17,1,1
11,wknd,18,1,1
11,wknd,19,1,1
11,wknd,20,1,1
11,wknd,21,1,1
11,wknd,22,1,1
11,wknd,23,1,1
12,wk,0,1,1
12,wk,1,1,1
12,wk,2,1,1
12,wk,3,1,1
12,wk,4,1,1
12,wk,5,1,1
12,wk,6,1,1
12,wk,7,1,1
12,wk,8,1,2
12,wk,9,1,2
12,wk,10,1,2
12,wk,11,1,2
12,wk,12,1,2
12,wk,13,1,2
12,wk,14,1,2
12,wk,15,1,2
12,wk,16,1,2
12,wk,17,1,2
12,wk,18,1,2
12,wk,19,1,2
12,wk,20,1,2
12,wk,21,1,1
12,wk,22,1,1
12,wk,23,1,1
12,wknd,0,1,1
12,wknd,1,1,1
